ID,Age,Salary,Experience,Department,City
311,52.0,,27.0,Finance,Berlin
312,,116748.0,12.0,HR,
313,54.0,,30.0,Finance,New York
314,41.0,31960.0,13.0,,Mumbai
315,46.0,60772.0,19.0,HR,Tokyo
316,48.0,46520.0,17.0,Finance,
317,52.0,74481.0,28.0,IT,New York
318,50.0,61408.0,5.0,HR,
319,38.0,119006.0,,Finance,Mumbai
320,49.0,,28.0,Admin,Mumbai
321,40.0,45491.0,1.0,Finance,London
322,50.0,26341.0,22.0,IT,New York
323,,69623.0,18.0,Sales,Berlin
324,35.0,115327.0,30.0,Finance,Mumbai
325,42.0,25338.0,4.0,Sales,Mumbai
326,59.0,96431.0,18.0,Admin,Berlin
327,48.0,37254.0,33.0,Finance,New York
328,20.0,76860.0,9.0,HR,London
329,57.0,36344.0,24.0,Sales,Mumbai
330,41.0,26750.0,1.0,Admin,London
331,49.0,79756.0,10.0,HR,Tokyo
332,39.0,92957.0,30.0,HR,New York
333,40.0,83053.0,14.0,HR,Tokyo
334,19.0,95855.0,,HR,Tokyo
335,44.0,40896.0,22.0,Finance,Tokyo
336,59.0,80761.0,18.0,Finance,New York
337,19.0,87552.0,8.0,Finance,New York
338,43.0,102454.0,34.0,Admin,Berlin
339,34.0,115600.0,20.0,Admin,London
340,57.0,52935.0,,,London
341,50.0,62641.0,27.0,IT,Berlin
342,26.0,54711.0,6.0,Admin,Berlin
343,56.0,95342.0,,Finance,Tokyo
344,46.0,37182.0,15.0,Finance,Berlin
345,59.0,,32.0,IT,Mumbai
346,43.0,81276.0,3.0,,London
347,52.0,44541.0,3.0,Admin,Berlin
348,42.0,119457.0,38.0,Sales,
349,41.0,107310.0,39.0,IT,Mumbai
350,30.0,69813.0,16.0,,Mumbai
351,24.0,62198.0,36.0,Finance,Mumbai
352,53.0,33820.0,38.0,HR,Tokyo
353,37.0,49070.0,28.0,,Mumbai
354,18.0,,,Finance,Tokyo
355,25.0,36122.0,37.0,IT,Tokyo
356,33.0,105559.0,38.0,IT,Mumbai
357,31.0,98543.0,36.0,HR,London
358,29.0,108441.0,34.0,Finance,Mumbai
359,40.0,66786.0,,HR,Mumbai
360,32.0,119934.0,26.0,Sales,Mumbai
361,45.0,31737.0,27.0,HR,London
362,,61062.0,,Admin,New York
363,19.0,79237.0,,HR,New York
364,49.0,76571.0,6.0,Admin,Tokyo
365,40.0,50510.0,36.0,,Tokyo
366,39.0,44426.0,21.0,Admin,London
367,42.0,62265.0,4.0,Sales,Berlin
368,39.0,42850.0,1.0,HR,New York
369,39.0,91150.0,26.0,HR,Tokyo
370,,112312.0,20.0,Sales,
371,23.0,114613.0,37.0,Finance,London
372,32.0,99910.0,14.0,IT,London
373,54.0,77375.0,20.0,HR,Berlin
374,50.0,60435.0,9.0,IT,Berlin
375,25.0,82132.0,22.0,Sales,London
376,22.0,103945.0,38.0,Finance,Tokyo
377,56.0,107050.0,,Finance,New York
378,21.0,27983.0,0.0,Finance,Mumbai
379,,45662.0,12.0,Sales,Berlin
380,,48510.0,20.0,Admin,Mumbai
381,47.0,,25.0,Admin,Tokyo
382,52.0,65998.0,,IT,Berlin
383,,81846.0,17.0,Admin,Mumbai
384,33.0,119071.0,36.0,Admin,Tokyo
385,30.0,,31.0,Finance,New York
386,59.0,69547.0,35.0,Finance,Tokyo
387,,79620.0,16.0,IT,Berlin
388,36.0,40317.0,34.0,HR,
389,34.0,32564.0,10.0,IT,New York
390,36.0,52345.0,20.0,,Mumbai
391,45.0,119223.0,25.0,,Berlin
392,43.0,104273.0,3.0,Sales,London
393,54.0,99859.0,33.0,IT,Tokyo
394,,105765.0,17.0,IT,London
395,40.0,,39.0,IT,
396,26.0,,34.0,Admin,Berlin
397,,91081.0,28.0,Sales,London
398,18.0,54430.0,28.0,IT,
399,18.0,,37.0,Finance,London
400,51.0,52788.0,20.0,Finance,Berlin
401,49.0,73543.0,12.0,Admin,Berlin
402,42.0,38919.0,16.0,,Mumbai
403,57.0,94346.0,8.0,HR,Mumbai
404,18.0,64974.0,0.0,HR,New York
405,33.0,,1.0,HR,Berlin
406,56.0,70084.0,28.0,Admin,Mumbai
407,22.0,54629.0,32.0,Admin,
408,39.0,76184.0,,Admin,Tokyo
409,46.0,86916.0,39.0,Finance,London
410,20.0,98972.0,20.0,Admin,Tokyo
411,29.0,87187.0,27.0,,Mumbai
412,43.0,,10.0,HR,New York
413,33.0,58039.0,33.0,HR,London
414,54.0,110431.0,7.0,HR,London
415,39.0,108691.0,21.0,IT,London
416,46.0,83606.0,7.0,IT,Tokyo
417,31.0,35616.0,14.0,Sales,Mumbai
418,45.0,75072.0,16.0,Sales,London
419,22.0,49574.0,22.0,Sales,London
420,47.0,,23.0,IT,New York
421,22.0,37676.0,18.0,IT,New York
422,29.0,35816.0,4.0,Sales,Mumbai
423,33.0,57733.0,31.0,Sales,
424,43.0,110680.0,0.0,Admin,
425,,27050.0,22.0,Sales,New York
426,38.0,58933.0,36.0,Admin,Berlin
427,56.0,49951.0,7.0,Finance,Tokyo
428,53.0,57413.0,12.0,IT,Berlin
429,50.0,59801.0,7.0,Sales,London
430,47.0,80619.0,22.0,IT,
431,54.0,57913.0,0.0,,Mumbai
432,40.0,65600.0,23.0,IT,Tokyo
433,27.0,82775.0,34.0,Finance,London
434,,115816.0,23.0,HR,Berlin
435,53.0,115093.0,16.0,,Tokyo
436,51.0,60400.0,4.0,HR,Tokyo
437,48.0,29494.0,19.0,HR,London
438,27.0,105688.0,20.0,,Berlin
439,36.0,114431.0,39.0,IT,Tokyo
440,49.0,99691.0,,Admin,Tokyo
441,18.0,68001.0,35.0,IT,New York
442,,92364.0,10.0,IT,Tokyo
443,21.0,70028.0,14.0,HR,
444,33.0,62573.0,18.0,IT,
445,41.0,25806.0,6.0,HR,Berlin
446,,81638.0,27.0,Admin,Berlin
447,19.0,54757.0,4.0,Sales,Mumbai
448,45.0,59636.0,4.0,HR,Berlin
449,49.0,105097.0,29.0,Admin,Tokyo
450,44.0,73280.0,31.0,Sales,London
451,37.0,49262.0,7.0,Finance,
452,41.0,105435.0,9.0,HR,Mumbai
453,29.0,87211.0,37.0,HR,Berlin
454,52.0,79842.0,31.0,Finance,Berlin
455,50.0,,27.0,Finance,London
456,50.0,106470.0,16.0,HR,London
457,54.0,,30.0,Finance,Mumbai
458,29.0,66844.0,7.0,IT,New York
459,20.0,89754.0,,Sales,Berlin
460,,59157.0,,Sales,Mumbai
461,50.0,102129.0,8.0,Sales,Tokyo
462,57.0,65042.0,,IT,
463,27.0,,14.0,Finance,Mumbai
464,46.0,107856.0,2.0,Admin,Berlin
465,30.0,52376.0,35.0,,Mumbai
466,,,3.0,HR,Berlin
467,48.0,39199.0,,Sales,London
468,19.0,,24.0,Finance,Mumbai
469,,75948.0,,Admin,Berlin
470,40.0,98781.0,20.0,HR,Mumbai
471,34.0,97750.0,35.0,IT,Mumbai
472,43.0,91262.0,11.0,IT,Berlin
473,25.0,,26.0,Admin,Berlin
474,46.0,101898.0,39.0,HR,New York
475,43.0,87483.0,,Sales,Mumbai
476,27.0,43297.0,12.0,Finance,Tokyo
477,43.0,55448.0,,HR,Mumbai
478,51.0,51172.0,30.0,,Mumbai
479,58.0,67874.0,15.0,Admin,Berlin
480,24.0,,31.0,Admin,Mumbai
481,21.0,,31.0,Finance,Mumbai
482,,50425.0,33.0,Admin,Tokyo
483,46.0,51685.0,10.0,Admin,Berlin
484,53.0,49578.0,9.0,HR,Mumbai
485,42.0,53831.0,,Sales,London
486,38.0,32906.0,16.0,Finance,New York
487,53.0,86413.0,39.0,,Tokyo
488,,79028.0,17.0,Sales,Mumbai
489,54.0,32287.0,8.0,,London
490,26.0,58660.0,24.0,HR,Mumbai
491,41.0,100758.0,39.0,Admin,Mumbai
492,52.0,85504.0,13.0,Sales,
493,52.0,84720.0,24.0,Finance,Berlin
494,53.0,59701.0,21.0,,Berlin
495,35.0,108300.0,29.0,Sales,London
496,56.0,42674.0,19.0,Admin,Mumbai
497,49.0,108560.0,20.0,IT,New York
498,,48874.0,31.0,HR,Tokyo
499,40.0,68642.0,20.0,Admin,Berlin
500,49.0,90160.0,34.0,Sales,Berlin
501,54.0,42602.0,31.0,HR,Mumbai
502,29.0,113801.0,29.0,Finance,
503,30.0,50931.0,38.0,IT,London
504,40.0,119377.0,11.0,Finance,London
505,42.0,54192.0,17.0,Sales,Berlin
506,52.0,71542.0,20.0,HR,Mumbai
507,58.0,67520.0,12.0,Sales,New York
508,47.0,89772.0,20.0,HR,Tokyo
509,,83762.0,7.0,Admin,Mumbai
510,,75106.0,,IT,Mumbai
511,42.0,106121.0,6.0,Admin,
512,,50559.0,22.0,Admin,
513,30.0,58742.0,31.0,Sales,Berlin
514,36.0,,10.0,IT,Mumbai
515,53.0,105199.0,21.0,HR,Berlin
516,29.0,46754.0,21.0,HR,Mumbai
517,58.0,,24.0,Finance,
518,36.0,95831.0,21.0,HR,Tokyo
519,,66873.0,27.0,Sales,London
520,26.0,119661.0,,Admin,Tokyo
521,24.0,34903.0,12.0,Admin,New York
522,45.0,28020.0,17.0,Admin,London
523,31.0,66755.0,1.0,IT,
524,48.0,110956.0,28.0,HR,New York
525,36.0,111988.0,20.0,Sales,Mumbai
526,,70648.0,14.0,IT,Mumbai
527,22.0,34516.0,26.0,Finance,Berlin
528,52.0,27396.0,30.0,Sales,London
529,29.0,109082.0,14.0,,Mumbai
530,42.0,44129.0,22.0,Sales,London
531,38.0,26591.0,23.0,Admin,Mumbai
532,53.0,36303.0,12.0,Sales,Berlin
533,40.0,,21.0,HR,Tokyo
534,33.0,96719.0,36.0,Sales,Berlin
535,56.0,117108.0,,Admin,New York
536,59.0,111231.0,2.0,,
537,56.0,32314.0,18.0,Finance,New York
538,,44623.0,22.0,Finance,New York
539,48.0,,28.0,Admin,London
540,22.0,90082.0,29.0,HR,Mumbai
541,52.0,,38.0,HR,New York
542,40.0,58130.0,,IT,Tokyo
543,46.0,76756.0,36.0,Admin,New York
544,,51292.0,7.0,,Tokyo
545,,111206.0,,Admin,London
546,29.0,94274.0,7.0,IT,New York
547,26.0,27469.0,0.0,,Berlin
548,27.0,78947.0,4.0,Admin,London
549,34.0,47534.0,2.0,IT,Tokyo
550,55.0,88620.0,0.0,,London
551,24.0,,3.0,Sales,New York
552,30.0,74708.0,39.0,IT,Mumbai
553,57.0,99553.0,34.0,Finance,Mumbai
554,59.0,93344.0,31.0,,Tokyo
555,26.0,,33.0,Finance,Tokyo
556,44.0,79302.0,24.0,HR,Mumbai
557,19.0,72638.0,9.0,Sales,Tokyo
558,22.0,103249.0,20.0,Sales,London
559,46.0,27719.0,38.0,Admin,Berlin
560,54.0,47890.0,26.0,Finance,Berlin
561,55.0,102236.0,26.0,HR,London
562,36.0,61509.0,1.0,Sales,Berlin
563,25.0,,12.0,IT,New York
564,18.0,117241.0,8.0,Sales,London
565,39.0,43787.0,35.0,IT,Tokyo
566,34.0,73845.0,21.0,HR,London
567,24.0,82932.0,25.0,Sales,Mumbai
568,42.0,117124.0,11.0,Sales,Tokyo
569,21.0,116659.0,16.0,HR,Mumbai
570,,58062.0,13.0,Sales,Tokyo
571,23.0,,13.0,,Berlin
572,48.0,,33.0,,London
573,36.0,85461.0,19.0,,New York
574,,100418.0,10.0,Admin,Tokyo
575,44.0,91672.0,15.0,IT,Tokyo
576,27.0,,30.0,Finance,
577,43.0,56966.0,5.0,HR,Berlin
578,36.0,97545.0,18.0,,Mumbai
579,,37987.0,36.0,Admin,Mumbai
580,20.0,62311.0,3.0,Admin,Berlin
581,30.0,56575.0,3.0,,New York
582,45.0,88852.0,19.0,HR,Mumbai
583,37.0,26007.0,,IT,Mumbai
584,45.0,95981.0,23.0,Sales,Tokyo
585,25.0,101242.0,34.0,HR,Berlin
586,58.0,72517.0,25.0,Sales,London
587,56.0,54257.0,36.0,Finance,New York
588,18.0,112272.0,37.0,Admin,New York
589,20.0,,20.0,Sales,Berlin
590,30.0,38281.0,39.0,Admin,
591,45.0,86246.0,38.0,Sales,Tokyo
592,42.0,26435.0,20.0,Finance,Berlin
593,50.0,116357.0,9.0,HR,Tokyo
594,55.0,51660.0,37.0,Finance,New York
595,23.0,30084.0,,HR,New York
596,49.0,107197.0,19.0,HR,London
597,38.0,38507.0,,Admin,Berlin
598,33.0,97595.0,6.0,Finance,Mumbai
599,38.0,108807.0,3.0,Sales,Mumbai
600,,70539.0,28.0,Finance,London
601,54.0,32491.0,13.0,Admin,London
602,,75192.0,2.0,HR,Tokyo
603,52.0,105395.0,23.0,Admin,London
604,36.0,,36.0,IT,
605,37.0,98609.0,15.0,IT,
606,35.0,34077.0,3.0,Sales,Tokyo
607,58.0,45953.0,23.0,Admin,London
608,31.0,101919.0,33.0,,London
609,32.0,92889.0,29.0,Sales,Tokyo
610,48.0,48821.0,17.0,IT,Berlin
611,18.0,62567.0,18.0,Sales,Tokyo
612,20.0,49860.0,30.0,IT,Mumbai
613,33.0,46195.0,18.0,HR,Berlin
614,40.0,102475.0,,Admin,New York
615,28.0,115874.0,21.0,Sales,Tokyo
616,,112266.0,23.0,IT,Mumbai
617,27.0,46427.0,11.0,Finance,Berlin
618,49.0,52083.0,29.0,Sales,Tokyo
619,33.0,112046.0,37.0,HR,London
620,25.0,,30.0,,Tokyo
621,,69064.0,,Finance,New York
622,29.0,32813.0,18.0,IT,Tokyo
623,,56598.0,,Sales,Berlin
624,45.0,118106.0,29.0,,
625,25.0,52082.0,32.0,,
626,45.0,54241.0,17.0,IT,Berlin
627,53.0,69569.0,27.0,,London
628,43.0,36745.0,10.0,IT,Tokyo
629,25.0,51029.0,32.0,Finance,London
630,45.0,38025.0,16.0,Admin,London
631,45.0,39288.0,5.0,Finance,Mumbai
632,,114186.0,3.0,Finance,Tokyo
633,58.0,31540.0,,Admin,Berlin
634,53.0,106958.0,26.0,Admin,London
635,,,14.0,Sales,Mumbai
636,34.0,66846.0,5.0,Sales,Tokyo
637,26.0,100932.0,13.0,Finance,Tokyo
638,50.0,42482.0,10.0,Finance,New York
639,37.0,48411.0,38.0,HR,New York
640,,75975.0,8.0,,London
641,45.0,85545.0,25.0,Sales,New York
642,46.0,103797.0,15.0,,London
643,30.0,77307.0,,HR,Berlin
644,52.0,28093.0,9.0,HR,London
645,,102258.0,2.0,IT,New York
646,35.0,47042.0,12.0,IT,Berlin
647,22.0,77930.0,29.0,HR,New York
648,42.0,69413.0,5.0,IT,London
649,19.0,118623.0,16.0,Admin,Mumbai
650,27.0,58756.0,18.0,Sales,Tokyo
